<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHANGHAI,D,20171221,000000,3.281.1179000,3.309.1333000,3.267.4042000,3.300.0593000,2.754
SHANGHAI,D,20171222,000000,3.297.6852000,3.307.1787000,3.293.8900000,3.297.0630000,2.841
SHANGHAI,D,20171225,000000,3.296.2106000,3.312.0675000,3.270.7290000,3.280.4610000,2.162
SHANGHAI,D,20171226,000000,3.277.8372000,3.307.2994000,3.274.4003000,3.306.1246000,2.816
SHANGHAI,D,20171227,000000,3.302.4612000,3.306.8902000,3.270.3490000,3.275.7828000,2.088
SHANGHAI,D,20171228,000000,3.272.2913000,3.304.0563000,3.263.7869000,3.296.3847000,2.697
SHANGHAI,D,20171229,000000,3.295.2461000,3.308.1098000,3.292.7995000,3.307.1721000,2.130
SHANGHAI,D,20180102,000000,3.314.0307000,3.349.0530000,3.314.0307000,3.348.3259000,2.722
SHANGHAI,D,20180103,000000,3.347.7428000,3.379.8378000,3.345.3210000,3.369.1084000,2.770
SHANGHAI,D,20180104,000000,3.371.0000000,3.392.8026000,3.365.5566000,3.385.7102000,2.121
SHANGHAI,D,20180105,000000,3.386.4640000,3.401.8518000,3.380.2450000,3.391.7501000,2.817
SHANGHAI,D,20180108,000000,3.391.5528000,3.412.7307000,3.384.5591000,3.409.4795000,2.803
SHANGHAI,D,20180109,000000,3.406.1116000,3.417.2012000,3.403.7269000,3.413.8996000,2.707
SHANGHAI,D,20180110,000000,3.414.1128000,3.430.1064000,3.398.8870000,3.421.8343000,2.026
SHANGHAI,D,20180111,000000,3.415.5850000,3.426.4829000,3.405.6858000,3.425.3449000,2.840
SHANGHAI,D,20180112,000000,3.423.8793000,3.435.2897000,3.417.9802000,3.428.9407000,2.702
SHANGHAI,D,20180115,000000,3.428.9508000,3.442.2624000,3.402.3576000,3.410.4882000,2.772
SHANGHAI,D,20180116,000000,3.403.4694000,3.437.5827000,3.402.2119000,3.436.5940000,2.173
SHANGHAI,D,20180117,000000,3.438.5762000,3.465.0062000,3.430.5351000,3.444.6713000,2.725
SHANGHAI,D,20180118,000000,3.449.8810000,3.475.9457000,3.449.3891000,3.474.7540000,2.799
SHANGHAI,D,20180119,000000,3.481.6200000,3.498.4341000,3.474.7738000,3.487.8640000,2.243
SHANGHAI,D,20180122,000000,3.476.9939000,3.503.3857000,3.475.9409000,3.501.3622000,2.358
SHANGHAI,D,20180123,000000,3.504.3439000,3.546.9908000,3.504.3439000,3.546.5048000,2.634
SHANGHAI,D,20180124,000000,3.553.4787000,3.569.0432000,3.527.3688000,3.559.4653000,2.602
SHANGHAI,D,20180125,000000,3.555.1677000,3.571.1813000,3.528.1971000,3.548.3070000,2.199
SHANGHAI,D,20180126,000000,3.535.4931000,3.574.7246000,3.534.2527000,3.558.1288000,2.595
SHANGHAI,D,20180129,000000,3.563.6400000,3.586.6159000,3.523.0007000,3.523.0007000,1.755
